;Tarih;TP_DK_CNY_A
862;30-07-2014;
863;31-07-2014;0.33595
864;01-08-2014;0.34361
865;02-08-2014;
866;03-08-2014;
867;04-08-2014;0.34512
868;05-08-2014;0.34301
869;06-08-2014;0.34263
870;07-08-2014;0.34879
871;08-08-2014;0.34836
872;09-08-2014;
873;10-08-2014;
874;11-08-2014;0.35023
875;12-08-2014;0.34726
876;13-08-2014;0.34899
877;14-08-2014;0.34878
878;15-08-2014;0.34839
879;16-08-2014;
880;17-08-2014;
881;18-08-2014;0.34877
882;19-08-2014;0.35094
883;20-08-2014;0.35028
884;21-08-2014;0.35109
885;22-08-2014;0.35182
886;23-08-2014;
887;24-08-2014;
888;25-08-2014;0.35182
889;26-08-2014;0.35187
890;27-08-2014;0.3505
891;28-08-2014;0.3493
892;29-08-2014;0.34997
893;30-08-2014;
894;31-08-2014;
895;01-09-2014;0.34936
896;02-09-2014;0.34981
897;03-09-2014;0.35056
898;04-09-2014;0.35002
899;05-09-2014;0.34933
900;06-09-2014;
901;07-09-2014;
902;08-09-2014;0.35035
903;09-09-2014;0.35023
904;10-09-2014;0.35492
905;11-09-2014;0.35727
906;12-09-2014;0.35563
907;13-09-2014;
908;14-09-2014;
909;15-09-2014;0.35685
910;16-09-2014;0.35853
911;17-09-2014;0.3574
912;18-09-2014;0.35727
913;19-09-2014;0.35983
914;20-09-2014;
915;21-09-2014;
916;22-09-2014;0.36003
917;23-09-2014;0.36277
918;24-09-2014;0.36158
919;25-09-2014;0.36181
920;26-09-2014;0.36432
921;27-09-2014;
922;28-09-2014;
923;29-09-2014;0.36604
924;30-09-2014;0.36857
925;01-10-2014;0.36882
926;02-10-2014;0.36982
927;03-10-2014;0.36821
928;04-10-2014;
929;05-10-2014;
930;06-10-2014;
931;07-10-2014;
932;08-10-2014;0.36821
933;09-10-2014;0.37061
934;10-10-2014;0.36614
935;11-10-2014;
936;12-10-2014;
937;13-10-2014;0.36962
938;14-10-2014;0.36851
939;15-10-2014;0.36987
940;16-10-2014;0.36843
941;17-10-2014;0.36911
942;18-10-2014;
943;19-10-2014;
944;20-10-2014;0.36547
945;21-10-2014;0.3646
946;22-10-2014;0.36383
947;23-10-2014;0.36478
948;24-10-2014;0.36376
949;25-10-2014;
950;26-10-2014;
951;27-10-2014;0.36376
952;28-10-2014;0.36347
953;29-10-2014;
954;30-10-2014;0.36347
955;31-10-2014;0.36055
956;01-11-2014;
957;02-11-2014;
958;03-11-2014;0.35833
959;04-11-2014;0.36162
960;05-11-2014;0.36157
961;06-11-2014;0.36348
962;07-11-2014;0.36423
963;08-11-2014;
964;09-11-2014;
965;10-11-2014;0.36879
966;11-11-2014;0.3651
967;12-11-2014;0.36751
968;13-11-2014;0.36651
969;14-11-2014;0.36448
970;15-11-2014;
971;16-11-2014;
972;17-11-2014;0.36371
973;18-11-2014;0.36184
974;19-11-2014;0.36071
975;20-11-2014;0.36196
976;21-11-2014;0.3624
977;22-11-2014;
978;23-11-2014;
979;24-11-2014;0.36072
980;25-11-2014;0.36039
981;26-11-2014;0.36105
982;27-11-2014;0.35983
983;28-11-2014;0.35876
984;29-11-2014;
985;30-11-2014;
986;01-12-2014;0.35775
987;02-12-2014;0.35886
988;03-12-2014;0.35891
989;04-12-2014;0.36141
990;05-12-2014;0.36132
991;06-12-2014;
992;07-12-2014;
993;08-12-2014;0.3615
994;09-12-2014;0.36612
995;10-12-2014;0.36307
996;11-12-2014;0.36393
997;12-12-2014;0.36312
998;13-12-2014;
999;14-12-2014;
1000;15-12-2014;0.36616
1001;16-12-2014;0.37242
1002;17-12-2014;0.38029
1003;18-12-2014;0.37955
1004;19-12-2014;0.37169
1005;20-12-2014;
1006;21-12-2014;
1007;22-12-2014;0.37125
1008;23-12-2014;0.37032
1009;24-12-2014;0.36999
1010;25-12-2014;0.37131
1011;26-12-2014;0.3719
1012;27-12-2014;
1013;28-12-2014;
1014;29-12-2014;0.37104
1015;30-12-2014;0.3713
1016;31-12-2014;0.37179
1017;01-01-2015;
1018;02-01-2015;0.37284
1019;03-01-2015;
1020;04-01-2015;
1021;05-01-2015;0.37572
1022;06-01-2015;0.37431
1023;07-01-2015;0.37255
1024;08-01-2015;0.37222
1025;09-01-2015;0.36924
1026;10-01-2015;
1027;11-01-2015;
1028;12-01-2015;0.36845
1029;13-01-2015;0.36697
1030;14-01-2015;0.36542
1031;15-01-2015;0.36796
1032;16-01-2015;0.36644
1033;17-01-2015;
1034;18-01-2015;
1035;19-01-2015;0.36985
1036;20-01-2015;0.37385
1037;21-01-2015;0.37376
1038;22-01-2015;0.37448
1039;23-01-2015;0.37583
1040;24-01-2015;
1041;25-01-2015;
1042;26-01-2015;0.37259
1043;27-01-2015;0.37522
1044;28-01-2015;0.37522
1045;29-01-2015;0.37598
1046;30-01-2015;0.38228
1047;31-01-2015;
1048;01-02-2015;
1049;02-02-2015;0.38466
1050;03-02-2015;0.38501
1051;04-02-2015;0.38375
1052;05-02-2015;0.38356
1053;06-02-2015;0.38874
1054;07-02-2015;
1055;08-02-2015;
1056;09-02-2015;0.38766
1057;10-02-2015;0.39565
1058;11-02-2015;0.39508
1059;12-02-2015;0.39657
1060;13-02-2015;0.39628
1061;14-02-2015;
1062;15-02-2015;
1063;16-02-2015;0.39324
1064;17-02-2015;0.39028
1065;18-02-2015;0.38919
1066;19-02-2015;0.39126
1067;20-02-2015;0.38818
1068;21-02-2015;
1069;22-02-2015;
1070;23-02-2015;0.38997
1071;24-02-2015;0.39381
1072;25-02-2015;0.39371
1073;26-02-2015;0.39078
1074;27-02-2015;0.39379
1075;28-02-2015;
1076;01-03-2015;
1077;02-03-2015;0.39775
1078;03-03-2015;0.39821
1079;04-03-2015;0.39918
1080;05-03-2015;0.40293
1081;06-03-2015;0.40967
1082;07-03-2015;
1083;08-03-2015;
1084;09-03-2015;0.41251
1085;10-03-2015;0.41349
1086;11-03-2015;0.41718
1087;12-03-2015;0.41589
1088;13-03-2015;0.41109
1089;14-03-2015;
1090;15-03-2015;
