;Tarih;TP_DK_EUR_A_EF
3277;23-12-2010;2.03
3278;24-12-2010;2.0211
3279;25-12-2010;
3280;26-12-2010;
3281;27-12-2010;2.019
3282;28-12-2010;2.0246
3283;29-12-2010;2.0392
3284;30-12-2010;2.0423
3285;31-12-2010;2.0477
3286;01-01-2011;
3287;02-01-2011;
3288;03-01-2011;2.0537
3289;04-01-2011;2.0592
3290;05-01-2011;2.0663
3291;06-01-2011;2.0369
3292;07-01-2011;2.0187
3293;08-01-2011;
3294;09-01-2011;
3295;10-01-2011;2.0206
3296;11-01-2011;2.0351
3297;12-01-2011;2.0314
3298;13-01-2011;2.0287
3299;14-01-2011;2.0403
3300;15-01-2011;
3301;16-01-2011;
3302;17-01-2011;2.0629
3303;18-01-2011;2.0487
3304;19-01-2011;2.0432
3305;20-01-2011;2.0623
3306;21-01-2011;2.0927
3307;22-01-2011;
3308;23-01-2011;
3309;24-01-2011;2.1226
3310;25-01-2011;2.12
3311;26-01-2011;2.117
3312;27-01-2011;2.1437
3313;28-01-2011;2.1459
3314;29-01-2011;
3315;30-01-2011;
3316;31-01-2011;2.1701
3317;01-02-2011;2.1827
3318;02-02-2011;2.1714
3319;03-02-2011;2.1692
3320;04-02-2011;2.1696
3321;05-02-2011;
3322;06-02-2011;
3323;07-02-2011;2.1701
3324;08-02-2011;2.1285
3325;09-02-2011;2.1356
3326;10-02-2011;2.154
3327;11-02-2011;2.1675
3328;12-02-2011;
3329;13-02-2011;
3330;14-02-2011;2.1479
3331;15-02-2011;2.131
3332;16-02-2011;2.1467
3333;17-02-2011;2.1369
3334;18-02-2011;2.1279
3335;19-02-2011;
3336;20-02-2011;
3337;21-02-2011;2.1345
3338;22-02-2011;2.1515
3339;23-02-2011;2.1677
3340;24-02-2011;2.1745
3341;25-02-2011;2.2025
3342;26-02-2011;
3343;27-02-2011;
3344;28-02-2011;2.1933
3345;01-03-2011;2.2011
3346;02-03-2011;2.2082
3347;03-03-2011;2.2203
3348;04-03-2011;2.2208
3349;05-03-2011;
3350;06-03-2011;
3351;07-03-2011;2.2225
3352;08-03-2011;2.2323
3353;09-03-2011;2.2057
3354;10-03-2011;2.1948
3355;11-03-2011;2.1778
3356;12-03-2011;
3357;13-03-2011;
3358;14-03-2011;2.1754
3359;15-03-2011;2.1924
3360;16-03-2011;2.1875
3361;17-03-2011;2.1976
3362;18-03-2011;2.2094
3363;19-03-2011;
3364;20-03-2011;
3365;21-03-2011;2.2213
3366;22-03-2011;2.2222
3367;23-03-2011;2.2226
3368;24-03-2011;2.2007
3369;25-03-2011;2.1828
3370;26-03-2011;
3371;27-03-2011;
3372;28-03-2011;2.1827
3373;29-03-2011;2.1748
3374;30-03-2011;2.1914
3375;31-03-2011;2.1801
3376;01-04-2011;2.1807
3377;02-04-2011;
3378;03-04-2011;
3379;04-04-2011;2.1724
3380;05-04-2011;2.1718
3381;06-04-2011;2.1645
3382;07-04-2011;2.1654
3383;08-04-2011;2.1533
3384;09-04-2011;
3385;10-04-2011;
3386;11-04-2011;2.1535
3387;12-04-2011;2.174
3388;13-04-2011;2.1819
3389;14-04-2011;2.1851
3390;15-04-2011;2.1856
3391;16-04-2011;
3392;17-04-2011;
3393;18-04-2011;2.1852
3394;19-04-2011;2.1695
3395;20-04-2011;2.1776
3396;21-04-2011;2.1895
3397;22-04-2011;2.2036
3398;23-04-2011;
3399;24-04-2011;
3400;25-04-2011;2.1974
3401;26-04-2011;2.2058
3402;27-04-2011;2.2195
3403;28-04-2011;2.2205
3404;29-04-2011;2.2364
3405;30-04-2011;
3406;01-05-2011;
3407;02-05-2011;2.248
3408;03-05-2011;2.2413
3409;04-05-2011;2.251
3410;05-05-2011;2.2747
3411;06-05-2011;2.281
3412;07-05-2011;
3413;08-05-2011;
3414;09-05-2011;2.23
3415;10-05-2011;2.2076
3416;11-05-2011;2.2233
3417;12-05-2011;2.2513
3418;13-05-2011;2.2386
3419;14-05-2011;
3420;15-05-2011;
3421;16-05-2011;2.2487
